,size,size,size,size,size,size,size,size,modularity,modularity,modularity,modularity,modularity,modularity,modularity,modularity,diameter,diameter,diameter,diameter,diameter,diameter,diameter,diameter,betweenness_centralization,betweenness_centralization,betweenness_centralization,betweenness_centralization,betweenness_centralization,betweenness_centralization,betweenness_centralization,betweenness_centralization,clustering,clustering,clustering,clustering,clustering,clustering,clustering,clustering,density,density,density,density,density,density,density,density
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0,176,47.852273,13.971023,18,37,47,57,83,176,0.45608,0.109663,0.202163,0.367822,0.449506,0.539423,0.721501,176,4.5,1.232883,2,4,4,5,10,176,0.217775,0.114036,0.019593,0.143174,0.197846,0.282362,0.674823,176,0.641722,0.103844,0.333333,0.576581,0.635295,0.695634,0.934718,176,0.206858,0.062813,0.059289,0.16108,0.206672,0.249665,0.369297
1,261,27.444444,10.135324,5,20,28,35,58,261,0.327349,0.131579,0,0.237988,0.31434,0.408304,0.726644,261,2.701149,0.771337,1,2,3,3,5,261,0.112488,0.074572,0,0.043393,0.113243,0.176898,0.26762,261,0.735725,0.136265,0,0.640612,0.712608,0.835556,1,261,0.329761,0.111172,0.038462,0.262485,0.331034,0.41502,0.6
2,143,21.587413,8.231962,3,16,20,27.5,41,143,0.313116,0.107746,0,0.23607,0.325397,0.394509,0.520329,143,3.384615,0.941403,2,3,3,4,6,143,0.399333,0.118512,0.224219,0.302522,0.379048,0.478503,1,143,0.680403,0.134197,0,0.6,0.691397,0.773613,0.922753,143,0.370472,0.097896,0.15,0.301515,0.363158,0.427521,0.666667
3,121,12.636364,6.49487,3,7,12,18,35,121,0.06518,0.069632,0,0,0.0472,0.118656,0.245799,121,1.900826,0.637769,1,1,2,2,3,121,0.063262,0.069658,0,0,0.043011,0.103942,0.317708,121,0.882185,0.090577,0.713555,0.80041,0.882932,1,1,121,0.765053,0.154158,0.52381,0.636842,0.732026,0.916667,1
