"vertex_id","egoid","size","edges","density","clustering","betweenness_centralization","degree_centralization","diameter","modularity","n_components","max_comp_size","prop_lcc","gender_1","race_1","parentincome_1","RegionUS","Extraversion_1","Openness_1","Agreeableness_1","Conscientiousness_1","Neuroticism_1","cluster_km"
14606,14606,14,46,0.450549450549451,0.586206896551724,0.193195266272189,0.472527472527473,3,0.180547293277811,1,14,1,"Male","White","$250,000 or more","West North Central",3.25,3,4.6666665,4.5555553,1.625,1
14690,14690,20,115,0.6,0.82458888018794,0.146481168661907,0.242105263157895,3,0.229916897506925,1,20,1,"Female","White","$250,000 or more","Pacific",3.875,2.4000001,3,2.7777777,3,1
14737,14737,49,237,0.185374149659864,0.61524094135226,0.311398813019817,0.335459183673469,6,0.425437673596499,4,46,0.938775510204082,"Male","Asian-American","$25,000 - $49,999","South Atlantic",3.125,3.7,3.8888888,3.2222223,3.125,0
14763,14763,20,67,0.352631578947368,0.824858757062147,0.225197496665641,0.436842105263158,2,0.290933392737803,3,16,0.8,"Female","White","$150,000 - $199,999","West North Central",3.625,2.8,3.3333333,4.1111112,3.875,1
14847,14847,38,91,0.129445234708393,0.635687732342007,0.67482347212077,0.330014224751067,6,0.58821398381838,3,36,0.947368421052632,"Female","Latino/a","less than $25,000","Pacific",2.375,3.5,2.8888888,3.5555556,3.625,0
15031,15031,30,222,0.505747126436782,0.858860578299456,0.146625072785906,0.28735632183908,3,0.22370867768595,1,30,1,"Female","White","$200,000 - $249,999","Middle Atlantic",4.125,2.8,3.6666667,4.3333335,2.375,1
15134,15134,33,184,0.335227272727273,0.858152686145146,0.0312220982142857,0.196022727272727,4,0.390053943630502,2,20,0.606060606060606,"Female","White","$100,000 - $149,999","Middle Atlantic",3.75,2.5,4,4.4444447,2.125,1
15181,15181,35,462,0.551260504201681,0.785551113649343,0.0350946573028989,0.360504201680672,2,0.109481893218322,3,32,0.914285714285714,"Male","White","$200,000 - $249,999","New England",1.875,3.3,4.1111112,3.7777777,2.375,3
15586,15586,18,33,0.215686274509804,0.692307692307692,0.231833910034602,0.196078431372549,5,0.567493112947658,2,13,0.722222222222222,"Female","White","$250,000 or more","West South Central",2.5,3.2,3.3333333,3,4.25,0
15707,15707,22,39,0.168831168831169,0.888888888888889,0.0219954648526077,0.116883116883117,3,0.629848783694938,5,7,0.318181818181818,"Female","African-American","$100,000 - $149,999","",2.375,3.5999999,4.3333335,2.8888888,3.625,1
16654,16654,32,205,0.383064516129032,0.686114352392065,0.272668528511889,0.358870967741935,3,0.278296398891967,1,32,1,"Male","White","$200,000 - $249,999","New England",4.5,2.7,3.4444444,3.5555556,2.75,2
16819,16819,19,77,0.450292397660819,0.8203125,0.456063907044299,0.383040935672515,3,0.326108955979086,1,19,1,"Female","Latino/a","$50,000 - $74,999","South Atlantic",4,3.8,2.8888888,3.8888888,3.25,2
17020,17020,33,220,0.393939393939394,0.80248833592535,0.279839234711022,0.387310606060606,4,0.191741401627219,1,33,1,"Male","Foreign Student","$50,000 - $74,999","Pacific",2.75,2.5999999,3.6666667,3.3333333,2.25,2
17183,17183,33,116,0.206439393939394,0.613300492610837,0.176537298387097,0.293560606060606,3,0.527901691776786,2,27,0.818181818181818,"Male","White","$250,000 or more","West North Central",2.625,2.5999999,4.1111112,3.6666667,1.875,1
17270,17270,26,60,0.181538461538462,0.663793103448276,0.0664774603174603,0.258461538461538,3,0.355501292731974,5,17,0.653846153846154,"Female","Foreign Student","$200,000 - $249,999","East North Central",3.25,3.3,4,2.7777777,3.375,1
17308,17308,64,452,0.199900793650794,0.56057582668187,0.192427639348249,0.355654761904762,4,0.397628825988708,1,64,1,"Female","White","$250,000 or more","West North Central",3.125,2.7,3.5555556,3.5555556,2.875,0
17470,17470,36,180,0.255555555555556,0.806468716861082,0.156673703247533,0.344444444444444,5,0.33978241580186,3,32,0.888888888888889,"Male","White","$250,000 or more","Middle Atlantic",4.25,3.5999999,3.7777777,2.3333333,3.875,0
17522,17522,13,21,0.243589743589744,0.435483870967742,0.29229797979798,0.33974358974359,4,0.292243767313019,2,12,0.923076923076923,"Female","African-American","$50,000 - $74,999","East North Central",3.625,3.3,3.5555556,4.2222223,3,2
17569,17569,47,298,0.222941720629047,0.694891532540238,0.104316431801751,0.320536540240518,3,0.497271052495653,2,32,0.680851063829787,"Male","Latino/a","","Middle Atlantic",3.75,3.4000001,3.3333333,4.1111112,2,0
17581,17581,20,145,0.763157894736842,0.831325301204819,0.0271005797321587,0.236842105263158,2,0.0620927467300832,1,20,1,"Female","White","$150,000 - $199,999","Pacific",3.25,3.9000001,3.5555556,4,4.125,3
17932,17932,26,98,0.295384615384615,0.79608938547486,0.4448,0.224615384615385,6,0.462673611111111,1,26,1,"Male","White","$100,000 - $149,999","Middle Atlantic",3.375,3.4000001,3.8888888,3.7777777,2.375,2
18111,18111,20,74,0.368421052631579,0.525,0.285523750897712,0.578947368421053,3,0.18969387755102,1,20,1,"Female","White","$200,000 - $249,999","West South Central",3,2.5,3.5555556,4,3.625,2
18222,18222,25,76,0.2,0.629139072847682,0.245747785829308,0.508333333333333,2,0.257083333333333,8,18,0.72,"Male","Foreign Student","less than $25,000","",2.5,2.9000001,3.6666667,3.3333333,2.375,1
18324,18324,13,58,0.743589743589744,0.836065573770492,0.0615079365079365,0.256410256410256,2,0.115338882282996,1,13,1,"Female","White","$150,000 - $199,999","Pacific",5,3.9000001,4.4444447,3.4444444,3,3
18611,18611,24,68,0.242753623188406,0.534722222222222,0.324707463013014,0.452898550724638,3,0.376475829806193,2,20,0.833333333333333,"Female","African-American","$250,000 or more","East North Central",3.75,3.2,2.8888888,4.1111112,3.5,2
18677,18677,23,134,0.486166007905138,0.669019054340155,0.14970990900743,0.422924901185771,3,0.236135897944345,1,23,1,"Female","White","$250,000 or more","East North Central",3.75,2.7,4.5555553,4.1111112,2.125,1
18707,18707,48,277,0.209219858156028,0.510913003381494,0.344487054754155,0.599290780141844,4,0.380682634300488,3,46,0.958333333333333,"Female","Other","$250,000 or more","East North Central",2.625,2.5,4.8888888,3.8888888,2.375,0
18743,18743,27,192,0.52991452991453,0.763917525773196,0.0881561899638823,0.316239316239316,3,0.116718695802983,1,27,1,"Male","White","$250,000 or more","East North Central",2.875,3,3.8888888,3.3333333,2.5,1
19030,19030,26,126,0.387692307692308,0.852850539291217,0.029262962962963,0.252307692307692,2,0.345679012345679,3,17,0.653846153846154,"Male","White","$250,000 or more","West South Central",3.5,3.9000001,3.3333333,3,2.875,1
19122,19122,26,146,0.418461538461538,0.676056338028169,0.121728888888889,0.461538461538462,3,0.234861591695502,1,26,1,"Male","White","$75,000 - $99,999","East North Central",2.625,3.7,3.1111112,2.8888888,2.25,1
19245,19245,46,345,0.283091787439614,0.729605515128303,0.188164730183869,0.361352657004831,5,0.202163100327319,2,44,0.956521739130435,"Male","White","$100,000 - $149,999","South Atlantic",3.25,2.8,3.4444444,4.5555553,3.25,0
19460,19460,10,27,0.6,0.866666666666667,0.5,0.4,2,0.222222222222222,1,10,1,"Male","Latino/a","$75,000 - $99,999","East North Central",3.25,3.3,4.6666665,4.2222223,3.125,2
19538,19538,29,171,0.401477832512315,0.643266475644699,0.215890542725027,0.491379310344828,3,0.220727163235349,1,29,1,"Female","White","$250,000 or more","West South Central",3,2.5999999,3.6666667,4.1111112,3.125,1
19591,19591,12,70,0.787878787878788,0.867132867132867,0.0487603305785124,0.212121212121212,2,0.0377218934911242,1,12,1,"Female","Foreign Student","$200,000 - $249,999","East North Central",4.25,3.4000001,3.7777777,4.1111112,1.75,3
19735,19735,38,232,0.321479374110953,0.758717858400845,0.0441158574041457,0.300142247510669,2,0.450661758947451,2,25,0.657894736842105,"Male","White","$100,000 - $149,999","East North Central",3.375,4,4.4444447,4.1111112,1.875,1
19827,19827,19,75,0.421052631578947,0.884057971014493,0.222222222222222,0.245614035087719,3,0.208815586419753,2,16,0.842105263157895,"Male","White","$250,000 or more","Middle Atlantic",3.125,2.8,3.1111112,3.4444444,4,1
19833,19833,18,45,0.294117647058824,1,0,0.176470588235294,1,0.337777777777778,5,9,0.5,"Male","Foreign Student","$25,000 - $49,999","",3.25,3.0999999,4.4444447,3.4444444,2.25,1
20179,20179,44,222,0.223044397463002,0.567598187311178,0.291441227653852,0.474630021141649,4,0.398677028817861,1,44,1,"Female","White","$200,000 - $249,999","Middle Atlantic",4.125,3.3,3.6666667,3.8888888,2.375,0
20335,20335,64,250,0.119047619047619,0.572763684913218,0.168665471671835,0.261904761904762,5,0.606866319444444,4,46,0.71875,"Male","White","$100,000 - $149,999","East North Central",3.875,3.3,2.7777777,3.2222223,2.125,0
20507,20507,13,54,0.692307692307692,0.846501128668172,0.14520202020202,0.224358974358974,3,0.0548696844993141,1,13,1,"Male","White","$50,000 - $74,999","West North Central",3.5,3.5999999,3.5555556,5,2.75,3
20650,20650,43,273,0.285714285714286,0.656665797025828,0.216216689169651,0.523809523809524,4,0.360998437593895,1,43,1,"Male","Latino/a","$250,000 or more","East North Central",4.875,3.4000001,3.7777777,3.2222223,2.875,0
20665,20665,6,14,0.866666666666667,0.866666666666667,0.04,0.133333333333333,2,0,1,6,1,"Male","White","$75,000 - $99,999","East North Central",3,3.5,4.1111112,3.4444444,2.375,3
21090,21090,57,340,0.191102756892231,0.676686031826219,0.283100693880767,0.255325814536341,4,0.49302875571083,2,56,0.982456140350877,"Female","Asian-American","$200,000 - $249,999","New England",3,3.8,4.3333335,4.3333335,2.375,0
21348,21348,39,238,0.321187584345479,0.790391676866585,0.516000705889903,0.441970310391363,4,0.422154155779959,1,39,1,"Female","Asian-American","$100,000 - $149,999","West South Central",3.625,4.3000002,4.4444447,3.5555556,2.5,2
21380,21380,31,218,0.382795698924731,0.746492048643592,0.51331964969896,0.517204301075269,3,0.419075874258301,1,31,1,"Male","White","$150,000 - $199,999","East North Central",3.625,2.2,3.7777777,3.8888888,2.25,2
21793,21793,28,92,0.243386243386243,0.934718100890208,0.170307059195948,0.164021164021164,4,0.534912570888469,2,16,0.571428571428571,"Male","White","$100,000 - $149,999","East South Central",2.5,2.5,3.6666667,4.2222223,3,0
21887,21887,34,226,0.390374331550802,0.805837979665464,0.42054238614156,0.306595365418895,4,0.34515543879402,1,34,1,"Male","White","$250,000 or more","West North Central",3.75,2.8,3.2222223,3.6666667,1.75,2
21899,21899,23,144,0.422924901185771,0.947368421052632,0.00780532598714417,0.0770750988142292,2,0.494715695693947,2,12,0.521739130434783,"Male","White","$250,000 or more","East North Central",2.25,2.8,3.4444444,3.5555556,2.75,1
21909,21909,18,131,0.856209150326797,0.882932166301969,0.00830843032400126,0.143790849673203,2,0.0234252083211934,1,18,1,"Male","Asian-American","$200,000 - $249,999","Pacific",3.875,2.8,3.3333333,2.8888888,2.375,3
21932,21932,32,214,0.397177419354839,0.656070471083876,0.148424825248062,0.409274193548387,3,0.326251642660208,1,32,1,"Male","White","$200,000 - $249,999","West North Central",2.625,3,2.7777777,4.1111112,1.875,1
21971,21971,68,451,0.190079016681299,0.579495453212086,0.203619128619833,0.392010535557507,3,0.457493506285702,3,66,0.970588235294118,"Female","White","$200,000 - $249,999","West South Central",3.25,2.7,4,3.7777777,3.5,0
22066,22066,4,4,0.666666666666667,0.6,0.666666666666667,0.333333333333333,2,0,1,4,1,"Male","White","$200,000 - $249,999","South Atlantic",3.875,2.3,3.3333333,3,2.75,2
22093,22093,31,132,0.283870967741935,0.691397000789266,0.4295647692027,0.216129032258065,5,0.380136593204775,2,30,0.967741935483871,"Male","White","$200,000 - $249,999","Pacific",3.75,3.9000001,4.2222223,3.6666667,3.25,2
22119,22119,31,167,0.359139784946237,0.76158940397351,0.477114602511154,0.40752688172043,3,0.452364731614615,1,31,1,"Female","White","$100,000 - $149,999","Pacific",3.25,3.3,3.6666667,3,3,2
22138,22138,29,152,0.354679802955665,0.719864176570458,0.199287727176522,0.431034482758621,4,0.240861304012346,2,28,0.96551724137931,"Male","White","$100,000 - $149,999","East North Central",4.375,3.9000001,3.8888888,3.8888888,2.5,1
22143,22143,37,328,0.474474474474474,0.745853576813537,0.143496082963676,0.497747747747748,2,0.259794103509053,2,36,0.972972972972973,"Female","White","","Middle Atlantic",4.125,3.8,4,3.4444444,2.125,1
22199,22199,5,10,1,1,0,0,1,0,1,5,1,"Male","White","$200,000 - $249,999","East North Central",2.875,3.5999999,2.7777777,2.4444444,3.25,3
22292,22292,18,65,0.42483660130719,0.739884393063584,0.103727587291601,0.281045751633987,4,0.237988165680473,2,17,0.944444444444444,"Male","White","$200,000 - $249,999","Middle Atlantic",4,3,3.2222223,3.1111112,2.25,1
