"cluster_km","race_1","X0"
0,"African-American",12
0,"Asian-American",15
0,"Foreign Student",10
0,"Latino/a",26
0,"Other",1
0,"White",112
1,"African-American",14
1,"Asian-American",22
1,"Foreign Student",19
1,"Latino/a",27
1,"White",178
2,"African-American",11
2,"Asian-American",16
2,"Foreign Student",13
2,"Latino/a",22
2,"White",81
3,"African-American",3
3,"Asian-American",9
3,"Foreign Student",8
3,"Latino/a",12
3,"White",87
